id,image,conversations,answer_type,image_organ,question_type,phrase_type
1,images/synpic54610.jpg,"[{'from': 'human', 'value': 'Are <task_related>regions of the brain</task_related> <task_related>infarcted</task_related>?'}, {'from': 'gpt', 'value': ""Yes. <task_related_visual>Hyperintense areas on DWI sequence</task_related_visual>, likely representing <task_related_visual>recent infarcts in the brain's right hemisphere</task_related_visual>.""}]",CLOSED,HEAD,PRES,freeform
2,images/synpic29265.jpg,"[{'from': 'human', 'value': 'Are the <task_related>lungs</task_related> normal appearing?'}, {'from': 'gpt', 'value': 'No. The lungs show <task_related_visual>a hyperlucent area in the right upper lobe</task_related_visual>, suggesting a pneumothorax.'}]",CLOSED,CHEST,ABN,freeform
3,images/synpic29265.jpg,"[{'from': 'human', 'value': 'Is there <task_related>evidence of a pneumothorax</task_related>?'}, {'from': 'gpt', 'value': 'No. The chest X-ray shows <task_related_visual>no visible visceral pleural line or lucency indicating a pneumothorax; lung fields are normally inflated</task_related_visual>.'}]",CLOSED,CHEST,PRES,freeform
4,images/synpic28602.jpg,"[{'from': 'human', 'value': '<task_related>What type</task_related> of <task_related>imaging</task_related> does this <task_related>not represent</task_related>?'}, {'from': 'gpt', 'value': 'ultrasound. The image is a chest X-ray, characterized by <task_related_visual>high-contrast silhouettes of bones and organs against a grayscale background</task_related_visual>.'}]",OPEN,CHEST,MODALITY,freeform
5,images/synpic29265.jpg,"[{'from': 'human', 'value': 'Is this a <task_related>MRI</task_related> of the <task_related>chest</task_related>?'}, {'from': 'gpt', 'value': 'no. This is a chest X-ray, characterized by <task_related_visual>high-contrast imaging of the lungs, ribs, and heart silhouette</task_related_visual> commonly seen in radiographic imaging.'}]",CLOSED,CHEST,MODALITY,freeform
6,images/synpic28602.jpg,"[{'from': 'human', 'value': '<task_related>What</task_related> is <task_related>not pictured</task_related> in this image?'}, {'from': 'gpt', 'value': 'The extremities. The <task_related_visual>extremities are not pictured</task_related_visual>, The chest X-ray shows the <task_related_visual>thoracic cavity and upper abdomen</task_related_visual> but does not include the limbs.'}]",OPEN,CHEST,ORGAN,freeform
7,images/synpic28602.jpg,"[{'from': 'human', 'value': 'Is the <task_related>trachea midline</task_related>?'}, {'from': 'gpt', 'value': 'yes. The trachea appears <task_related_visual>straight and centered between the clavicles</task_related_visual>, indicating it is midline.'}]",CLOSED,CHEST,PRES,freeform
8,images/synpic28602.jpg,"[{'from': 'human', 'value': 'Is there <task_related>evidence</task_related> of an <task_related>aortic aneurysm</task_related>?'}, {'from': 'gpt', 'value': 'No. The <task_related_visual>aortic silhouette is normal, without any visible bulging or enlargement indicative of an aneurysm.</task_related_visual>'}]",CLOSED,CHEST,PRES,freeform
9,images/synpic39460.jpg,"[{'from': 'human', 'value': '<task_related>Where</task_related> is the <task_related>abnormality</task_related>?'}, {'from': 'gpt', 'value': 'left temporal lobe. The abnormality is located in the region corresponding to the <task_related_visual>left temporal lobe</task_related_visual>, which is <task_related_visual>hyperintense on this T2-weighted MRI</task_related_visual>.'}]",OPEN,HEAD,POS,freeform
10,images/synpic28602.jpg,"[{'from': 'human', 'value': 'Is there <task_related>blunting of the costovertebral angles</task_related>?'}, {'from': 'gpt', 'value': 'No. The <task_related_visual>diaphragm is well-defined and the costophrenic angles are sharp</task_related_visual>, indicating no blunting or pleural effusion.'}]",CLOSED,CHEST,PRES,freeform
12,images/synpic42202.jpg,"[{'from': 'human', 'value': '<task_related>Which organ system</task_related> is <task_related>abnormal</task_related> in this image?'}, {'from': 'gpt', 'value': 'Cardiovascular. The <task_related_visual>cardiac silhouette is altered</task_related_visual>, a <task_related_visual>cardiovascular system abnormality</task_related_visual>. A <task_related_visual>pacemaker device is visible</task_related_visual>.'}]",OPEN,CHEST,ORGAN,freeform
15,images/synpic54610.jpg,"[{'from': 'human', 'value': '<task_related>Where</task_related> is the <task_related>pathology</task_related> in this image?'}, {'from': 'gpt', 'value': 'vasculature. Hyperintense areas on DWI sequence, likely representing <task_related_visual>acute infarcts within the territory of the middle cerebral artery</task_related_visual>.'}]",OPEN,HEAD,POS,freeform
16,images/synpic42202.jpg,"[{'from': 'human', 'value': 'Is there a <task_related>pneumothorax</task_related>?'}, {'from': 'gpt', 'value': 'no. The lungs are <task_related_visual>fully inflated without any visible visceral pleural line</task_related_visual>, indicating no pneumothorax.'}]",CLOSED,CHEST,PRES,freeform
17,images/synpic54610.jpg,"[{'from': 'human', 'value': '<task_related>What type</task_related> of <task_related>imaging</task_related> is this?'}, {'from': 'gpt', 'value': 'MRI Diffusion Weighted. This is an MRI Diffusion Weighted imaging (DWI) showing <task_related_visual>bright signal intensity areas in the brain</task_related_visual>, consistent with acute infarcts.'}]",OPEN,HEAD,MODALITY,freeform
18,images/synpic54610.jpg,"[{'from': 'human', 'value': '<task_related>What organ system</task_related> is <task_related>pictured</task_related>?'}, {'from': 'gpt', 'value': 'The brain. This is a brain MRI displaying <task_related_visual>cerebral hemispheres and ventricular system</task_related_visual> without skull structures.'}]",OPEN,HEAD,ORGAN,freeform
19,images/synpic29265.jpg,"[{'from': 'human', 'value': '<task_related>Is there</task_related> a <task_related>fracture</task_related>?'}, {'from': 'gpt', 'value': 'no. The rib cage appears intact without <task_related_visual>discontinuity or cortical irregularity</task_related_visual>, indicating no fractures are visible.'}]",CLOSED,CHEST,PRES,freeform
21,images/synpic39460.jpg,"[{'from': 'human', 'value': 'Is there <task_related>swelling</task_related> of the <task_related>grey matter</task_related>?'}, {'from': 'gpt', 'value': 'yes. Increased size and <task_related_visual>signal intensity of brain parenchyma</task_related_visual>, consistent with <task_related_visual>grey matter swelling</task_related_visual>, noted bilaterally in the <task_related_visual>temporal lobes</task_related_visual>.'}]",CLOSED,HEAD,"SIZE, PRES",freeform
23,images/synpic28602.jpg,"[{'from': 'human', 'value': '<task_related>Is this</task_related> an <task_related>anterior</task_related> <task_related>posterior</task_related> image?'}, {'from': 'gpt', 'value': 'no. The image shows <task_related_visual>a left-sided mediastinal shift</task_related_visual> indicating <task_related_visual>volume loss or atelectasis in the left lung</task_related_visual>.'}]",CLOSED,CHEST,PLANE,freeform
25,images/synpic39460.jpg,"[{'from': 'human', 'value': '<task_related>Is this the brain?</task_related>'}, {'from': 'gpt', 'value': 'yes. <task_related_visual>Cerebral hemispheres, ventricles, and midbrain structures</task_related_visual> are visible, consistent with a brain MRI.'}]",CLOSED,HEAD,ORGAN,freeform
26,images/synpic29265.jpg,"[{'from': 'human', 'value': '<task_related>Is there air under</task_related> the <task_related>diaphragm</task_related>?'}, {'from': 'gpt', 'value': 'No. <task_related_visual>No, the diaphragm on this chest X-ray is intact with no visible free air underneath</task_related_visual>, which would appear as a crescent of radiolucency.'}]",CLOSED,CHEST,PRES,freeform
27,images/synpic42202.jpg,"[{'from': 'human', 'value': '<task_related>What type</task_related> of <task_related>image</task_related> is this?'}, {'from': 'gpt', 'value': 'Chest X-ray. Chest X-ray, The image shows the typical <task_related_visual>high-contrast visual appearance consistent with radiographic chest imaging</task_related_visual>, displaying the <task_related_visual>thoracic skeleton, heart, and lungs</task_related_visual>.'}]",OPEN,CHEST,MODALITY,freeform
28,images/synpic39460.jpg,"[{'from': 'human', 'value': 'Is this a <task_related>CT image</task_related>?'}, {'from': 'gpt', 'value': 'No. This is an <task_related>MRI image</task_related>. The <task_related_visual>multi-planar capability and fine tissue contrast</task_related_visual>, especially of the <task_related_visual>brain parenchyma</task_related_visual>, identifies it as MRI.'}]",CLOSED,HEAD,MODALITY,freeform
29,images/synpic42202.jpg,"[{'from': 'human', 'value': 'Is this an anterior-posterior image'}, {'from': 'gpt', 'value': 'no. This is a posterior-anterior (PA) chest X-ray, indicated by the ""PA"" marker in the top right corner.'}]",CLOSED,CHEST,PLANE,freeform
30,images/synpic39460.jpg,"[{'from': 'human', 'value': 'In what <task_related>plane</task_related> is this image <task_related>oriented</task_related>?'}, {'from': 'gpt', 'value': 'Axial. The image cuts <task_related_visual>horizontally across the head</task_related_visual>, showing both <task_related_visual>eyes</task_related_visual> and the <task_related_visual>bilateral symmetry of the brain</task_related_visual>.'}]",OPEN,HEAD,PLANE,freeform
31,images/synpic39460.jpg,"[{'from': 'human', 'value': 'Is there a <task_related>skull fracture</task_related> pictured?'}, {'from': 'gpt', 'value': 'No. The MRI image of the head does not show any evidence of a skull fracture; the <task_related_visual>bony structures appear intact with no visible lines of discontinuity</task_related_visual>.'}]",CLOSED,HEAD,PRES,freeform
33,images/synpic21776.jpg,"[{'from': 'human', 'value': '<task_related>Are there</task_related> ><task_related>12 of ribs</task_related>?'}, {'from': 'gpt', 'value': 'Yes. Bilaterally visualized <task_related_visual>ribs exceed 12 pairs</task_related_visual>, suggesting supernumerary ribs or cervical ribs.'}]",CLOSED,CHEST,COUNT,frame
35,images/synpic21776.jpg,"[{'from': 'human', 'value': 'Is/Are the <task_related>lungs normal size</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The lung fields demonstrate <task_related_visual>normal size with no evidence of hyperexpansion or significant atelectasis</task_related_visual>, based on the <task_related_visual>clear costophrenic angles</task_related_visual>.'}]",CLOSED,CHEST,SIZE,frame
37,images/synpic25821.jpg,"[{'from': 'human', 'value': 'Is/Are there a <task_related>rib fracture</task_related>?'}, {'from': 'gpt', 'value': 'No. The ribs on this chest X-ray show <task_related_visual>no signs of discontinuity</task_related_visual> or <task_related_visual>step-off</task_related_visual> suggestive of fracture.'}]",CLOSED,CHEST,PRES,frame
39,images/synpic25821.jpg,"[{'from': 'human', 'value': ""<task_related>Is/Are there</task_related> <task_related>fracturing</task_related> in the patient's ribs?""}, {'from': 'gpt', 'value': 'No. The rib contours appear <task_related_visual>continuous and aligned</task_related_visual> without <task_related_visual>visible breaks or deformity</task_related_visual> to suggest fractures.'}]",CLOSED,CHEST,PRES,frame
41,images/synpic25821.jpg,"[{'from': 'human', 'value': 'Is/Are the <task_related>lung parenchyma</task_related> abnormal?'}, {'from': 'gpt', 'value': 'No. The lung fields are clear <task_related_visual>without consolidation, masses, or significant interstitial patterns suggesting pathology</task_related_visual>.'}]",CLOSED,CHEST,ABN,frame
43,images/synpic25821.jpg,"[{'from': 'human', 'value': 'Is/Are the <task_related>lung parenchyma</task_related> <task_related>abnormal</task_related>?'}, {'from': 'gpt', 'value': 'No. The lung fields appear clear, without <task_related_visual>focal opacity, consolidation</task_related_visual>, or <task_related_visual>pleural effusion</task_related_visual>, supporting normal lung parenchyma.'}]",CLOSED,CHEST,ABN,frame
44,images/synpic26158.jpg,"[{'from': 'human', 'value': '<task_related>Was the arterial contrast phase selected</task_related>?'}, {'from': 'gpt', 'value': 'Yes. Yes, <task_related_visual>the arterial contrast phase was selected</task_related_visual>. <task_related_visual>Enhanced contrast is visible in the abdominal aorta indicating arterial phase</task_related_visual> in a CT scan.'}]",CLOSED,ABD,MODALITY,freeform
45,images/synpic26158.jpg,"[{'from': 'human', 'value': 'Does this <task_related>plane of section</task_related> include the <task_related>gastric cardia</task_related>?'}, {'from': 'gpt', 'value': 'Yes, the gastric cardia is included, positioned where the <task_related_visual>esophagus meets the stomach</task_related_visual>, seen just <task_related_visual>below the diaphragm</task_related_visual>.'}]",CLOSED,ABD,PLANE,freeform
48,images/synpic34515.jpg,"[{'from': 'human', 'value': ""<task_related>Is/Are</task_related> there <task_related>thickening</task_related> in the patient's <task_related>small bowel wall</task_related>?""}, {'from': 'gpt', 'value': 'Yes. Multiple areas of the small bowel have <task_related_visual>concentric wall thickening</task_related_visual>, observable as <task_related_visual>increased soft-tissue attenuation encircling the lumen</task_related_visual>.'}]",CLOSED,ABD,"SIZE, PRES",frame
50,images/synpic21776.jpg,"[{'from': 'human', 'value': 'Was this taken with <task_related>good x ray penetration</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The <task_related_visual>vertebral bodies and intervertebral disc spaces are well visualized</task_related_visual>, indicating proper X-ray penetration.'}]",CLOSED,CHEST,MODALITY,freeform
51,images/synpic34713.jpg,"[{'from': 'human', 'value': 'Are the <task_related>common iliac arteries</task_related> and <task_related>veins patent</task_related> in this section?'}, {'from': 'gpt', 'value': 'Yes. The <task_related_visual>iliac arteries and veins appear patent</task_related_visual>, with no visible <task_related_visual>obstruction or narrowing</task_related_visual>.'}]",CLOSED,ABD,PRES,freeform
52,images/synpic34713.jpg,"[{'from': 'human', 'value': ""Is/Are there <task_related>patency</task_related> in the patient's <task_related>common iliac arteries and veins</task_related>?""}, {'from': 'gpt', 'value': 'Yes. This is a <task_related_visual>CT scan of the pelvis</task_related_visual>, showing <task_related_visual>no obstruction in the common iliac arteries and veins</task_related_visual>.'}]",CLOSED,ABD,PRES,frame
53,images/synpic34713.jpg,"[{'from': 'human', 'value': 'Are the <task_related>common iliac vasculature</task_related> open?'}, {'from': 'gpt', 'value': 'Yes. The common iliac arteries and veins are patent, showing <task_related_visual>normal contrast and caliber without obstruction</task_related_visual>.'}]",CLOSED,ABD,PRES,para
54,images/synpic34713.jpg,"[{'from': 'human', 'value': ""Is/Are there <task_related>patency</task_related> in the patient's <task_related>common iliac vasculature</task_related>?""}, {'from': 'gpt', 'value': 'Yes. <task_related_visual>Contrast-enhanced lumens</task_related_visual> of both <task_related_visual>common iliac arteries visible</task_related_visual>, suggesting patency.'}]",CLOSED,ABD,PRES,frame
55,images/synpic19605.jpg,"[{'from': 'human', 'value': 'Is the <task_related>spleen normal size</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The <task_related_visual>spleen size appears normal</task_related_visual>; it is not excessively large or showing signs of enlargement.'}]",CLOSED,ABD,SIZE,freeform
56,images/synpic19605.jpg,"[{'from': 'human', 'value': 'Is/Are the <task_related>spleen</task_related> <task_related>normal size</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The spleen size is within normal limits, not showing <task_related_visual>enlargement or reduction</task_related_visual> on this axial CT image.'}]",CLOSED,ABD,SIZE,frame
57,images/synpic19605.jpg,"[{'from': 'human', 'value': 'Is the <task_related>size</task_related> of the <task_related>spleen</task_related> normal?'}, {'from': 'gpt', 'value': 'Yes. The spleen size appears within <task_related_visual>normal limits</task_related_visual>; it does not show <task_related_visual>enlargement or border distortion</task_related_visual>.'}]",CLOSED,ABD,SIZE,para
58,images/synpic19605.jpg,"[{'from': 'human', 'value': 'Is/Are the <task_related>spleen normal size</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The spleen fits within the <task_related_visual>confines of the ninth to eleventh ribs</task_related_visual>, indicating a <task_related_visual>normal size</task_related_visual>.'}]",CLOSED,ABD,SIZE,frame
59,images/synpic39086.jpg,"[{'from': 'human', 'value': '<task_related>Are there air fluid levels present</task_related> in the <task_related>small bowel</task_related>?'}, {'from': 'gpt', 'value': 'Yes. <task_related_visual>Horizontal air fluid levels are visible in the bowel loops</task_related_visual>, suggesting <task_related_visual>small bowel obstruction</task_related_visual>.'}]",CLOSED,ABD,PRES,para
60,images/synpic39086.jpg,"[{'from': 'human', 'value': ""Is/Are there <task_related>air fluid levels</task_related> in the patient's <task_related>small bowel</task_related>?""}, {'from': 'gpt', 'value': 'yes. The CT scan shows <task_related_visual>multiple round, dark areas within the bowel loops, indicating air</task_related_visual>, overlaid on <task_related_visual>grey fluid-filled areas, consistent with air-fluid levels</task_related_visual>.'}]",CLOSED,ABD,PRES,frame
61,images/synpic39086.jpg,"[{'from': 'human', 'value': 'Is there <task_related>contrast material showing</task_related> <task_related>air-fluid levels in the small bowel</task_related>?'}, {'from': 'gpt', 'value': 'Yes, <task_related_visual>contrast material showing air-fluid levels in the small bowel</task_related_visual> is present; we see several <task_related_visual>dilated small bowel loops containing air-fluid levels, indicative of bowel obstruction</task_related_visual>.'}]",CLOSED,ABD,PRES,freeform
62,images/synpic39086.jpg,"[{'from': 'human', 'value': ""<task_related>Is/Are there</task_related> <task_related>air fluid levels</task_related> in the patient's <task_related>small bowel</task_related>?""}, {'from': 'gpt', 'value': 'Yes. Yes, multiple <task_related_visual>loop-like structures in the abdomen with air-fluid levels</task_related_visual>, indicative of <task_related_visual>small bowel obstruction</task_related_visual>.'}]",CLOSED,ABD,PRES,frame
63,images/synpic55245.jpg,"[{'from': 'human', 'value': '<task_related>Is/Are</task_related> the <task_related>mass</task_related> located <task_related>near/in</task_related> the <task_related>mid brain</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The mass is present in the region of the midbrain, appearing <task_related_visual>hyperintense on T1-weighted MRI</task_related_visual>, consistent with its location <task_related_visual>near the midbrain</task_related_visual>.'}]",CLOSED,HEAD,POS,para
64,images/synpic55245.jpg,"[{'from': 'human', 'value': 'Is/Are the <task_related>mass</task_related> located <task_related>near/in the mid brain</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The mass is located at the level of the pineal gland, bordered by midbrain structures. It is visualized as <task_related_visual>a hyperintense lesion on T1-weighted MRI</task_related_visual>.'}]",CLOSED,HEAD,POS,frame
65,images/synpic55245.jpg,"[{'from': 'human', 'value': 'Is the <task_related>mass compressing</task_related> the <task_related>mid brain</task_related> on this section?'}, {'from': 'gpt', 'value': 'Yes. Yes, a <task_related_visual>mass adjacent to the midbrain suggests compression</task_related_visual>, characterized by a <task_related_visual>hypointense structure on this MRI brain image</task_related_visual>.'}]",CLOSED,HEAD,PRES,freeform
66,images/synpic55245.jpg,"[{'from': 'human', 'value': ""Is there <task_related>mass compression</task_related> in the patient's <task_related>midbrain</task_related>?""}, {'from': 'gpt', 'value': 'Yes. The midbrain displays <task_related_visual>an expanded, hyperintense region indicative of mass effect</task_related_visual>.'}]",CLOSED,HEAD,PRES,frame
67,images/synpic55245.jpg,"[{'from': 'human', 'value': 'Is the <task_related>mass pushing</task_related> on the <task_related>midbrain structures</task_related>?'}, {'from': 'gpt', 'value': 'Yes. The provided MRI shows a <task_related_visual>hyperintense mass in the right cerebral hemisphere that is compressing adjacent midbrain structures</task_related_visual>.'}]",CLOSED,HEAD,PRES,para
68,images/synpic55245.jpg,"[{'from': 'human', 'value': ""Is there <task_related>mass compression</task_related> in the patient's <task_related>midbrain</task_related>?""}, {'from': 'gpt', 'value': 'Yes. The MRI shows <task_related_visual>an enlarged mass in the region of the midbrain with effacement of cerebral aqueduct</task_related_visual>, indicating mass effect and compression.'}]",CLOSED,HEAD,PRES,frame
